mem_id,trans_id,similar_trans,desc,date_diff,date_var,amt,cat,discret,sub,label
9.71E+17,-8.74E+18,-8736738853263440000|-8736738853262510000,mcdonaldsmofcadowneycausa,0.21,0.01,0.17,Restaurants/Dining,FALSE,FALSE,0
1.00E+15,1.00E+16,10008396710532700|10008396726900400|10008396740317800|10008396742621700|10008396770125300|10008396793244300|10008396815293600|10008396837689600|10008396837691400|10008396837691400|10008396860342000|10008396871338400|10008396888333600|10008396894878800|10008396912178800|10008396912178800|10008396925423700,onlinebankingtransferfromsavconfirmation,1.07,0.6,33.74,Transfers,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,debitcardwdpandaepresswaahachietdatecard,0.43,NA,0.43,Restaurants/Dining,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,uwmadisontravelppdid,16,NA,9.18,Uncategorized,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,checkcardchrysleruconnectks,8.43,NA,0,Automotive Expenses,FALSE,TRUE,0
1.00E+15,1.00E+16,10002812260901300|10002812269872400|10002812270372100,wmsupercentermorelessleesvillelagrocerystoresandsupermarkets,1.05,2.46,18.14,General Merchandise,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004268138100|10000004268218800|10000004268301400|10000004268705500|10000004268996300|10000004269126200|10000004269597000|10000004270263200|10000004272778400,purchaseauthorizedonamazonserviceskiwascard,1.62,4.96,2.2,Entertainment,FALSE,FALSE,0
1.00E+15,1.00E+16,10000004269446100|10000004273606200,recurringtransfertobaihrefopekhzeverydaycheckingweeklylivingepenses,7.5,60.5,0,Transfers,FALSE,FALSE,1
1.00E+15,1.00E+16,1.00E+16,yuzusushi,0.29,NA,0,Restaurants/Dining,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,achwdaddtypeinspremcoaddachtracenumber,12.43,NA,0,Transfers,FALSE,FALSE,0
1.61E+18,-2.34E+18,-2.34E+18,chipotlesunrisefl,14.14,NA,0.27,Restaurants/Dining,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,gianteagleheathoh,6.43,NA,28.6,Groceries,FALSE,FALSE,0
1.00E+15,1.00E+16,1.00E+16,associawebpaymentobrien,4.43,NA,0,Credit Card Payments,FALSE,FALSE,0
